year,pop,country,other_energycompile_price,electricitycompile_price,electricitycompile_peakprice
2080,5.036328606,MNG,0.09896498394707931,0.13135952620225966,0.805250063419043
2081,5.0609170057999995,MNG,0.10035049372233842,0.1331985595690913,0.8165235643069096
2082,5.085505405599999,MNG,0.10175540063445117,0.13506333940305856,0.8279548942072064
2083,5.1100938054,MNG,0.10317997624333348,0.13695422615470138,0.8395462627261072
2084,5.1346822052,MNG,0.10462449591074016,0.13887158532086719,0.8512999104042728
2085,5.159270605,MNG,0.10608923885349053,0.14081578751535934,0.8632181091499326
2086,5.1822703964,MNG,0.1075744881974394,0.14278720854057436,0.8753031626780317
2087,5.2052701878,MNG,0.10908053103220355,0.1447862294601424,0.8875574069555241
2088,5.228269979199999,MNG,0.11060765846665441,0.14681323667258442,0.8999832106529014
2089,5.2512697705999996,MNG,0.11215616568518758,0.1488686219860006,0.912582975602042
2090,5.274269562,MNG,0.1137263520047802,0.1509527826938046,0.9253591372604707
2091,5.295839556,MNG,0.11531852093284713,0.15306612165151787,0.9383141651821173
2092,5.31740955,MNG,0.116932980225907,0.1552090473546391,0.951450563494667
2093,5.338979544,MNG,0.1185700419490697,0.15738197401760406,0.9647708713835923
2094,5.360549538,MNG,0.12023002253635667,0.15958532165385053,0.9782776635829626
2095,5.382119532,MNG,0.12191324285186567,0.16181951615700443,0.9919735508731241
2096,5.4034085558,MNG,0.12362002825179179,0.16408498938320248,1.005861180585348
2097,5.4246975796,MNG,0.12535070864731687,0.16638217923456733,1.0199432371135428
2098,5.4459866034,MNG,0.12710561856837932,0.16871152974385129,1.0342224424331325
2099,5.4672756272,MNG,0.12888509722833663,0.1710734911602652,1.0487015566271964
2020,28.9727145,MOZ,0.07592379484499416,0.055977438117657194,0.34966605024005065
2021,29.577623541999998,MOZ,0.07698672797282408,0.0567611222513044,0.3545613749434114
2022,30.182532584,MOZ,0.07806454216444361,0.05755577796282266,0.35952523419261917
2023,30.787441626,MOZ,0.07915744575474583,0.05836155885430218,0.36455858747131586
2024,31.392350668000002,MOZ,0.08026564999531227,0.05917862067826241,0.3696624076959143
2025,31.99725971,MOZ,0.08138936909524665,0.060007121367758084,0.3748376814036571
2026,32.637580050000004,MOZ,0.0825288202625801,0.060847221066906695,0.3800854089433083
2027,33.27790039,MOZ,0.08368422374625623,0.06169908216184339,0.3854066046685146
2028,33.91822073,MOZ,0.08485580287870381,0.06256286931210919,0.3908022971338738
2029,34.55854107,MOZ,0.08604378411900566,0.06343874948247873,0.39627352929374804
2030,35.19886141,MOZ,0.08724839709667175,0.06432689197523343,0.40182135870386054
2031,35.809622042,MOZ,0.08846987465602515,0.0652274684628867,0.4074468577257146
2032,36.420382674,MOZ,0.0897084529012095,0.06614065302136711,0.4131511137338746
2033,37.031143306,MOZ,0.09096437124182644,0.06706662216366625,0.41893522932614885
2034,37.641903938,MOZ,0.09223787243921201,0.06800555487395758,0.42480032253671496
2035,38.25266457,MOZ,0.09352920265336098,0.06895763264219298,0.43074752705222896
2036,38.84086152,MOZ,0.09483861149050804,0.06992303949918369,0.43677799243096016
2037,39.42905847,MOZ,0.09616635205137515,0.07090196205217227,0.44289288432499363
2038,40.01725542,MOZ,0.0975126809800944,0.07189458952090268,0.44909338470554355
2039,40.60545237,MOZ,0.09887785851381573,0.07290111377419531,0.4553806920914212
2040,41.19364932,MOZ,0.10026214853300915,0.07392172936703405,0.4617560217807011
2041,41.761264816,MOZ,0.10166581861247127,0.07495663357817252,0.4682206060856309
2042,42.328880312,MOZ,0.10308914007304587,0.07600602644826693,0.4747756945708297
2043,42.896495808,MOZ,0.10453238803406852,0.07707011081854266,0.4814225542948213
2044,43.464111304,MOZ,0.10599584146654548,0.07814909237000225,0.4881624700549488
2045,44.0317268,MOZ,0.10747978324707712,0.07924317966318228,0.4949967446357181
2046,44.578341766,MOZ,0.1089845002125362,0.08035258417846684,0.5019266990606182
2047,45.124956732,MOZ,0.1105102832155117,0.08147752035696539,0.5089536728474668
2048,45.671571698,MOZ,0.11205742718052887,0.0826182056419629,0.5160790242673314
2049,46.218186664,MOZ,0.11362623116105627,0.08377486052095039,0.523304130607074
2050,46.76480163,MOZ,0.11521699839731106,0.0849477085682437,0.5306303884355731
2051,47.303852112,MOZ,0.11683003637487342,0.08613697648819911,0.5380592138736711
2052,47.842902594,MOZ,0.11846565688412165,0.0873428941590339,0.5455920428679024
2053,48.381953076,MOZ,0.12012417608049936,0.08856569467726037,0.553230331468053
2054,48.921003558,MOZ,0.12180591454562635,0.08980561440274203,0.5609755561086057
2055,49.46005404,MOZ,0.12351119734926512,0.09106289300438042,0.5688292138941262
2056,49.969296534,MOZ,0.12524035411215484,0.09233777350644175,0.576792822888644
2057,50.478539028,MOZ,0.126993719069725,0.09363050233553194,0.584867922409085
2058,50.987781522000006,MOZ,0.12877163113670115,0.09494132936822938,0.5930560733228122
2059,51.497024016000005,MOZ,0.13057443397261498,0.09627050797938459,0.6013588583493316
2060,52.00626651,MOZ,0.13240247604823158,0.09761829509109597,0.6097778823662222
2061,52.463468054,MOZ,0.13425611071290683,0.09898495122237132,0.6183147727193493
2062,52.920669598,MOZ,0.13613569626288752,0.10037074053948451,0.6269711795374202
2063,53.377871142,MOZ,0.13804159601056795,0.10177593090703729,0.6357487760509442
2064,53.835072686,MOZ,0.1399741783547159,0.10320079393973582,0.6446492589156574
2065,54.29227423,MOZ,0.14193381685168194,0.10464560505489212,0.6536743485404766
2066,54.736728852,MOZ,0.1439208902876055,0.10611064352566062,0.6628257894200432
2067,55.181183474,MOZ,0.14593578275163197,0.10759619253501987,0.6721053504719239
2068,55.625638095999996,MOZ,0.1479788837101548,0.10910253923051015,0.6815148253785308
